Burr_PD_L1_CMTM6_INFr_LFC	Freeman_B16F10_MHCI_Low_LFC	Freeman_B16F10_NK_LFC	Haney_U937_iggRBC_LFC	Haney_U937_Zymosin_LFC	Henriksson_mNaiveTh_GATA3_r1_LFC	Jiang_Daudi_B_CD40_r1_LFC	Kearney_B16F10_OT_I_LFC	Kearney_MC38_OT_I_aPD1_LFC	Kearney_MC38_OT_I_IgG_LFC	Liu_HSC4_DoxvsnoDox_shADAR_LFC	Manguso_GVAX_only_vs_TCRa_KO_LFC	Manguso_GVAX_PD_1_vs_TCRa_KO_LFC	Manguso_TCRa_KO_vs_In_vitro_LFC	Pan_B16F10_Pmel_1_IFNg_LFC	Parnas_BMDCs_TNF_r1_LFC	Pech_K562_MHCI_r1_LFC	Pech_K562_NK_92_r1_LFC	Ritchie_U937_cGAMP_r1_LFC	Shifrut_pilot_mean_LFC	Shifrut_d1234_LFC	Vredevoogd_IFNGR1mut_SKCM_MART_1_1r_LFC
0NOS3	NA	NA	NA	0.12926	-0.015158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NP	NA	NA	NA	0.15026	0.054552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NS	NA	NA	NA	1.4236	0.0081617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L1	NA	NA	NA	0.045953	-0.13426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L2	NA	NA	NA	-0.0022755	0.019391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L3	NA	NA	NA	-0.1785	0.021872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L4	NA	NA	NA	-0.24983	0.18418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L5	NA	NA	NA	0.081299	0.046106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L6	NA	NA	NA	-0.11893	-0.0059088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PA	NA	NA	NA	-0.16788	0.034161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PB	NA	NA	NA	-0.24238	0.054242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PEPLD	NA	NA	NA	-0.055062	-0.019602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PG	NA	NA	NA	0.15762	-0.088106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PRT1	NA	NA	NA	0.0081691	-0.071881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PSA	NA	NA	NA	-0.43527	0.04522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0RF	NA	NA	NA	0.0018703	-0.032032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0RFL	NA	NA	NA	0.34448	0.2425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0RG2	NA	NA	NA	-0.5746	-0.017628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0RS	NA	NA	NA	-0.035342	0.15723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0RS2	NA	NA	NA	0.089588	-0.061886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0SP	NA	NA	NA	0.48883	0.10852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T1	NA	NA	NA	0.20035	0.025037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T10	NA	NA	NA	-0.34089	0.031359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T14	NA	NA	NA	-0.075837	-0.1232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T16	NA	NA	NA	0.010431	-0.02533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T2	NA	NA	NA	-0.40885	0.069391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T6	NA	NA	NA	0.19137	0.025259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T8	NA	NA	NA	0.091103	0.11448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T8L	NA	NA	NA	-0.18671	0.011222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T9	NA	NA	NA	-0.13319	0.019129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0V1	NA	NA	NA	-0.10773	0.073239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0V2	NA	NA	NA	-0.0078678	0.083845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0V3	NA	NA	NA	-0.1221	0.060158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-03-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-03-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-03-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-03-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-03-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-03-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-03-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-03-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-03-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-03-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-03-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-09-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2018-12-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA
2019-03-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-12-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC1	NA	NA	NA	0.11475	0.036161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC10	NA	NA	NA	-0.084795	0.26975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC11	NA	NA	NA	-0.1122	-0.012044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC13	NA	NA	NA	-0.14123	-0.20026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC15	NA	NA	NA	-0.061459	0.063577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC16	NA	NA	NA	0.036248	0.14573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC2	NA	NA	NA	0.24099	0.25824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC4	NA	NA	NA	-0.17668	0.41251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC5	NA	NA	NA	0.15507	-0.001835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC7	NA	NA	NA	0.43591	0.3861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1BG	-6.647	0.59658	-2.5447	-0.15132	-0.12229	0.21771	0.44028	-6.916	-2.3952	-0.9457	0.34204	NA	NA	NA	0.10689	1.643	-0.013735	-0.25036	NA	NA	0.071709	0.19647
A1CF	-5.2189	-2.2695	-4.4912	-0.22499	-0.00073189	-0.2255	-0.03768	-0.30851	-4.6173	0.47106	0.036145	NA	NA	NA	-0.15253	2.6901	-0.054914	-0.37435	NA	NA	0.055373	0.10894
A2M	-8.0912	0.90425	0.094181	-0.032991	0.063733	-0.55333	0.3652	-2.5974	-3.045	-0.46635	0.47283	NA	NA	NA	-1.7963	-3.3692	0.049742	-0.060553	NA	NA	-0.04893	-0.028741
A2ML1	-8.1418	NA	NA	0.071578	-0.10433	NA	-0.015502	NA	NA	NA	0.12985	NA	NA	NA	NA	NA	0.084077	0.42943	NA	NA	0.15406	0.15662
A3GALT2	-7.2992	-0.22902	0.16915	-0.51343	0.033212	1.199	0.20005	-2.8386	-3.2671	-0.69135	-0.26853	NA	NA	NA	-0.92674	0.68039	-0.13701	0.26562	NA	NA	0.044235	0.27194
A4GALT	-7.9268	-1.8355	-2.951	-0.13456	-0.053471	0.86248	-0.37735	-6.8144	-1.7159	2.0862	0.0081285	NA	NA	NA	-0.81264	-1.2224	0.17676	0.15425	NA	NA	-0.056235	-0.1061
A4GNT	-6.865	0.53565	0.83346	0.095558	0.026447	-0.44165	0.39156	-6.2222	-2.6209	-0.77536	0.46356	NA	NA	NA	-0.66519	1.4026	0.21201	0.64637	NA	NA	0.11378	-0.048917
AA0T	NA	NA	NA	0.030737	-0.026631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	-6.6973	-2.1605	0.81798	0.16889	0.20872	0.36975	-0.52687	-5.219	1.0834	1.1563	0.44991	NA	NA	NA	-0.89382	0.77452	0.33548	-0.42694	NA	NA	0.033117	0.4779
AACS	-7.5526	NA	NA	-0.025904	0.0091069	0.10246	0.31487	NA	NA	NA	0.078037	NA	NA	NA	NA	-1.2224	0.18066	-0.3715	NA	NA	0.22966	-0.0028685
AADAC	-7.1299	3.2787	-2.1495	-0.08014	-0.021956	2.9067	0.0058958	-6.6194	-3.0816	-3.8375	0.36272	NA	NA	NA	-1.6134	-3.273	-0.66081	0.20985	NA	NA	-0.05299	0.15588
AADACL2	-7.1921	1.7764	-4.3951	-0.18316	-0.14851	-0.73195	0.082874	-6.5058	-2.6731	-0.017865	0.46652	NA	NA	NA	-1.5454	2.5448	0.05988	0.65108	NA	NA	0.016219	0.026486
AADACL3	-8.4184	0.45016	-1.9459	-0.17813	-0.074562	-0.7457	0.19696	-6.3045	-2.3768	0.43235	0.27496	NA	NA	NA	-1.4161	-1.2224	-0.53919	-0.082167	NA	NA	0.029952	-0.27862
AADACL4	-6.9732	NA	NA	-0.1991	-0.070863	NA	-0.10953	NA	NA	NA	-0.14185	NA	NA	NA	NA	NA	-1.583	0.29492	NA	NA	-0.078048	0.24976
AADAT	-7.2493	-0.59999	-3.2256	0.14514	0.0040152	-1.6672	0.086224	-4.1576	-2.6185	-0.80465	0.39378	NA	NA	NA	-0.050533	2.0165	-0.28383	1.1008	NA	NA	-0.063784	0.21283
AAED1	-7.1822	1.6733	-0.58291	-0.31495	-0.074015	1.5462	1.1904	-5.5313	-2.3025	0.79805	0.23314	NA	NA	NA	-0.18452	3.0925	-0.68101	0.23448	NA	NA	0.041827	0.20861
AAGAB	-7.3694	-1.5069	-3.3973	0.71703	0.31868	0.15507	-0.005249	-5.6599	-4.5156	0.039649	-0.3191	NA	NA	NA	0.14516	2.4271	-1.0836	0.17761	NA	NA	-0.1504	0.28936
AAK1	-7.7064	2.198	-0.93529	-0.15208	-0.044293	3.2709	-0.81956	-7.1857	-0.18555	2.1333	0.68941	NA	NA	NA	-0.27718	-3.3692	0.30798	0.26791	NA	NA	0.13789	0.081854
AAMDC	-7.452	-0.42271	0.80895	0.25699	0.048749	-0.10701	0.26507	-6.6496	-1.8182	0.65316	0.13605	NA	NA	NA	-0.43213	-1.6591	0.10591	0.70398	NA	NA	0.028604	0.14108
AAMP	-6.2033	-2.6071	0.72282	0.49924	-0.029305	0.74444	-0.12413	-2.5075	-4.6418	-4.1091	0.34307	0.4178	0.25233	0.047867	-0.27602	0.67273	-0.40198	-1.5566	NA	-0.068094	-0.026187	-0.11091
AANAT	-6.727	-3.3133	-0.22928	NA	NA	2.3343	0.95787	-4.6908	-2.3626	-3.91	-0.53279	NA	NA	NA	-1.2473	0.91089	-3.5849	0.4467	NA	NA	0.12932	0.0090926
AAR2	-6.8885	-3.1253	-3.6988	0.044522	-0.062732	-0.37798	0.49253	-6.1314	-1.9696	0.56182	-0.53587	NA	NA	NA	-1.8816	1.2409	0.16677	-0.30316	NA	NA	-0.089131	-0.20589
AARD	-8.024	-0.21044	-5.4957	-0.22474	0.0081711	0.090662	-0.13639	-0.88185	-0.70989	1.361	-0.037997	NA	NA	NA	-1.2014	2.4629	0.41753	-0.044455	NA	NA	-0.093222	-0.2495
AARS	-4.7346	-4.0311	-1.805	-0.23927	0.17292	-0.24944	0.55962	-5.4186	-4.3887	-0.14008	-0.66317	NA	NA	NA	-2.301	3.59	-2.001	-3.6421	NA	NA	-0.26694	0.078258
AARS2	-7.1683	-1.8441	-5.3522	-0.098954	0.19956	1.6977	0.84177	-6.5951	-1.496	1.1635	0.0013144	NA	NA	NA	-0.68409	-1.585	-2.7309	-2.4875	NA	NA	-0.0034402	-0.058959
