Burr_PD_L1_CMTM6_INFr_RRAscore	Freeman_B16F10_MHCI_Low_RRAscore	Freeman_B16F10_NK_RRAscore	Haney_U937_iggRBC_RRAscore	Haney_U937_Zymosin_RRAscore	Henriksson_mNaiveTh_GATA3_r1_RRAscore	Jiang_Daudi_B_CD40_r1_RRAscore	Kearney_B16F10_OT_I_RRAscore	Kearney_MC38_OT_I_aPD1_RRAscore	Kearney_MC38_OT_I_IgG_RRAscore	Liu_HSC4_DoxvsnoDox_shADAR_RRAscore	Manguso_GVAX_only_vs_TCRa_KO_RRAscore	Manguso_GVAX_PD_1_vs_TCRa_KO_RRAscore	Manguso_TCRa_KO_vs_In_vitro_RRAscore	Pan_B16F10_Pmel_1_IFNg_RRAscore	Parnas_BMDCs_TNF_r1_RRAscore	Pech_K562_MHCI_r1_RRAscore	Pech_K562_NK_92_r1_RRAscore	Ritchie_U937_cGAMP_r1_RRAscore	Shifrut_pilot_mean_RRAscore	Shifrut_d1234_RRAscore	Vredevoogd_IFNGR1mut_SKCM_MART_1_1r_RRAscore
0ALADL1	NA	NA	NA	0.38462	0.14621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0ALADL2	NA	NA	NA	0.14792	0.20595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0B1	NA	NA	NA	0.04412	0.98692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0B2	NA	NA	NA	0.1985	0.28847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0BP1	NA	NA	NA	0.1567	0.31824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0BP2	NA	NA	NA	0.50692	0.071055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0CA	NA	NA	NA	0.44129	0.36346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0CA2	NA	NA	NA	0.70591	0.018507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0CAD	NA	NA	NA	0.55644	0.056533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0CC1	NA	NA	NA	0.96171	0.69108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0CC2	NA	NA	NA	0.055223	0.033872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0DK	NA	NA	NA	0.26963	0.86819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0DK2	NA	NA	NA	0.34454	0.91273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0DSYN1	NA	NA	NA	0.51074	0.41665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0E1	NA	NA	NA	0.14931	0.81252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0F1	NA	NA	NA	0.21952	0.21232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0GA	NA	NA	NA	0.79294	0.18008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0GK	NA	NA	NA	0.96236	0.54597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0GLU	NA	NA	NA	0.023943	0.92319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0GPA	NA	NA	NA	0.25649	0.12384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0GS	NA	NA	NA	0.031594	0.12752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0IF1	NA	NA	NA	0.58649	0.19354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0IP	NA	NA	NA	0.08231	0.12263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0LCN	NA	NA	NA	0.11665	0.036303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0MPT	NA	NA	NA	0.35498	0.75023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0MPTL	NA	NA	NA	0.22485	0.68167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NOG	NA	NA	NA	0.050377	0.64747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NOGNB	NA	NA	NA	0.30203	0.047781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NOS1	NA	NA	NA	0.080145	0.59631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NOS2	NA	NA	NA	0.96199	0.3255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NOS3	NA	NA	NA	0.26316	0.40756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NP	NA	NA	NA	0.32332	0.98735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NS	NA	NA	NA	0.97115	0.29727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L1	NA	NA	NA	0.46021	0.14389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L2	NA	NA	NA	0.18538	0.2614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L3	NA	NA	NA	0.098341	0.6427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L4	NA	NA	NA	0.046401	0.9937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L5	NA	NA	NA	0.44117	0.070236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0P1L6	NA	NA	NA	0.16722	0.35119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PA	NA	NA	NA	0.10694	0.34488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PB	NA	NA	NA	0.11973	0.74067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PEPLD	NA	NA	NA	0.3012	0.18015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PG	NA	NA	NA	0.12553	0.098471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PRT1	NA	NA	NA	0.12269	0.52264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0PSA	NA	NA	NA	0.0092103	0.3226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0RF	NA	NA	NA	0.25745	0.90675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0RFL	NA	NA	NA	0.34769	0.95164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0RG2	NA	NA	NA	0.00038308	0.42471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0RS	NA	NA	NA	0.23121	0.74863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0RS2	NA	NA	NA	0.49564	0.40489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0SP	NA	NA	NA	0.62158	0.10322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T1	NA	NA	NA	0.3286	0.5249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T10	NA	NA	NA	0.078708	0.86902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T14	NA	NA	NA	0.1624	0.018756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T16	NA	NA	NA	0.9049	0.60898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T2	NA	NA	NA	0.020499	0.40748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T6	NA	NA	NA	0.67092	0.22115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T8	NA	NA	NA	0.40303	0.20376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T8L	NA	NA	NA	0.16253	0.96072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0T9	NA	NA	NA	0.17797	0.13565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0V1	NA	NA	NA	0.25303	0.4084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0V2	NA	NA	NA	0.051094	0.84552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0V3	NA	NA	NA	0.015869	0.8056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-03-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-428.09	1.0278	NA	NA	NA	NA
2018-03-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.1323	-6.7338	NA	NA	NA	NA
2018-03-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-139.47	0.17017	NA	NA	NA	NA
2018-03-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-30.363	0.94727	NA	NA	NA	NA
2018-03-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.2284	0.99485	NA	NA	NA	NA
2018-03-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.203	2.5333	NA	NA	NA	NA
2018-03-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1569.4	0.65725	NA	NA	NA	NA
2018-03-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6637.4	1.6183	NA	NA	NA	NA
2018-03-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.8508	3.0785	NA	NA	NA	NA
2018-03-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	113.37	48.059	NA	NA	NA	NA
2018-03-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.886	1.0068	NA	NA	NA	NA
2018-09-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0374	-5.5192	NA	NA	NA	NA
2018-09-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-84.277	-147.57	NA	NA	NA	NA
2018-09-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	109.31	14.173	NA	NA	NA	NA
2018-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.92	1.0719	NA	NA	NA	NA
2018-09-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79874	-405.84	NA	NA	NA	NA
2018-09-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-267.81	-46.022	NA	NA	NA	NA
2018-09-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-358	-0.0936	NA	NA	NA	NA
2018-09-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-21.709	7.2805	NA	NA	NA	NA
2018-09-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-79.193	256.68	NA	NA	NA	NA
2018-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-75204	0.88195	NA	NA	NA	NA
2018-09-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3509	0.77372	NA	NA	NA	NA
2018-09-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99057	1.0903	NA	NA	NA	NA
2018-12-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6989	-5.9123	NA	NA	NA	NA
2019-03-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.6297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-399.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-03-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.7764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-53.924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.4637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-80.488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.97822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.1295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.32568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-12-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC1	NA	NA	NA	0.39711	0.62158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC10	NA	NA	NA	0.60502	0.32307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC11	NA	NA	NA	0.084634	0.64881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC13	NA	NA	NA	0.091707	0.014561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC15	NA	NA	NA	0.54318	0.40242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC16	NA	NA	NA	0.49087	0.99258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC2	NA	NA	NA	0.31132	0.97706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC4	NA	NA	NA	0.086957	0.9411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC5	NA	NA	NA	0.50217	0.26795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0PC7	NA	NA	NA	0.72811	0.99538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1BG	0.60576	0.33777	0.068072	0.85126	0.22973	0.3416	0.48067	0.087172	0.10036	0.055718	0.99985	NA	NA	NA	0.61999	0.8735	0.86205	0.15401	NA	NA	0.8695	0.36567
A1CF	0.38865	0.10407	0.070133	0.081622	0.71851	0.30154	0.64488	0.9872	0.13818	0.82779	0.23725	NA	NA	NA	0.79794	0.15426	0.39693	0.26441	NA	NA	0.84599	0.5856
A2M	0.037603	0.28609	0.60972	0.57251	0.24446	0.048116	0.23152	0.21626	0.37253	0.46584	0.97536	NA	NA	NA	0.03345	0.019086	0.55631	0.69079	NA	NA	0.70055	0.63589
A2ML1	0.012587	NA	NA	0.33408	0.019329	NA	0.77962	NA	NA	NA	0.4759	NA	NA	NA	NA	NA	0.70775	0.60603	NA	NA	0.81905	0.83988
A3GALT2	0.00045979	0.17756	0.62712	0.0013241	0.98848	0.91566	0.78716	0.86999	0.28334	0.023312	0.39879	NA	NA	NA	0.25336	0.44782	0.68739	0.23145	NA	NA	0.43553	0.80024
A4GALT	0.017512	0.14029	0.16467	0.050043	0.022832	0.027883	0.7779	0.078291	0.92644	0.43806	0.25639	NA	NA	NA	0.067023	0.37092	0.4588	0.65226	NA	NA	0.7338	0.21535
A4GNT	0.97767	0.53496	0.8765	0.24768	0.72281	0.4498	0.73544	0.58792	0.37253	0.23538	0.089267	NA	NA	NA	0.54618	0.69816	0.72714	0.99862	NA	NA	0.82167	0.24648
AA0T	NA	NA	NA	0.50453	0.22375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	0.68395	0.24861	0.66881	0.35635	0.99996	0.23454	0.15357	0.61709	0.99949	0.17653	0.19946	NA	NA	NA	0.24738	0.83154	0.65885	0.080183	NA	NA	0.57474	0.91445
AACS	0.04365	NA	NA	0.17043	0.93781	0.13775	0.73358	NA	NA	NA	0.72296	NA	NA	NA	NA	0.44959	0.34323	0.10051	NA	NA	0.39724	0.62432
AADAC	0.61867	0.99542	0.12776	0.29928	0.061333	0.19659	0.32885	0.016539	0.26256	0.066029	0.68996	NA	NA	NA	0.082264	0.10539	0.12851	0.92602	NA	NA	0.56185	0.81456
AADACL2	0.25989	0.91626	0.0092087	0.013128	0.0071493	0.24302	0.22949	0.091494	0.33571	0.2794	0.97018	NA	NA	NA	0.14427	0.32883	0.52827	0.27552	NA	NA	0.16406	0.79794
AADACL3	0.0041157	0.67717	0.048177	0.4098	0.66715	0.18913	0.5421	0.53932	0.33346	0.88729	0.68895	NA	NA	NA	0.13719	0.62371	0.12121	0.47222	NA	NA	0.9332	0.028007
AADACL4	0.13963	NA	NA	0.15039	0.55173	NA	0.029537	NA	NA	NA	0.90142	NA	NA	NA	NA	NA	0.0054779	0.45356	NA	NA	0.14437	0.96334
AADAT	0.5311	0.24888	0.034483	0.85601	0.083669	0.023968	0.30836	0.72932	0.52649	0.34062	0.92816	NA	NA	NA	0.33805	0.98833	0.49086	0.99958	NA	NA	0.14781	0.97319
AAED1	0.089263	0.80133	0.59219	0.051617	0.33538	0.94273	0.99473	0.90322	0.54653	0.28148	0.94739	NA	NA	NA	0.77519	0.50869	0.011063	0.894	NA	NA	0.70724	0.36195
AAGAB	0.32543	0.1224	0.073195	0.72575	0.52868	0.30522	0.27009	0.94809	0.22364	0.39386	0.16267	NA	NA	NA	0.50961	0.019811	0.024697	0.5875	NA	NA	0.042684	0.85793
AAK1	0.228	0.98054	0.1854	0.018814	0.41944	0.89578	0.057984	0.019724	0.96711	0.95334	0.97679	NA	NA	NA	0.68732	0.0023834	0.40307	0.3625	NA	NA	0.76177	0.58197
AAMDC	0.092121	0.43665	0.14462	0.7867	0.77386	0.59826	0.13008	0.10857	0.16062	0.10249	0.66797	NA	NA	NA	0.42834	0.077919	0.55864	0.98402	NA	NA	0.72581	0.36436
AAMP	0.99991	0.093262	0.695	0.74877	0.17104	0.93204	0.44922	0.88438	0.042286	0.029382	0.08356	0.91091	0.82385	0.31543	0.83427	0.92105	0.19383	0.0035244	NA	0.81933	0.52371	0.64019
AANAT	0.32089	0.0066959	0.50057	NA	NA	0.95408	0.81834	0.87368	0.41417	0.047526	0.0015912	NA	NA	NA	0.037121	0.32695	7.5056e-05	0.45686	NA	NA	0.64445	0.67461
AAR2	0.39849	0.094905	0.021684	0.53341	0.87479	0.45124	0.16368	0.34358	0.16062	0.43806	0.0040413	NA	NA	NA	0.042471	0.67759	0.28419	0.1241	NA	NA	0.49343	0.18038
AARD	0.03582	0.47323	0.0089188	0.0050559	0.1786	0.96286	0.71365	0.77103	0.6834	0.52097	0.25355	NA	NA	NA	0.15394	0.73415	0.98974	0.80206	NA	NA	0.11877	0.077439
AARS	0.99999	0.26159	0.029694	0.028069	0.10477	0.14391	0.2537	0.79169	0.26722	0.63813	0.036372	NA	NA	NA	0.11529	0.95815	0.076556	6.0506e-06	NA	NA	0.00041286	0.86501
AARS2	0.25989	0.24652	0.011044	0.2004	0.59767	0.27002	0.3906	0.045873	0.83505	0.56223	0.2012	NA	NA	NA	0.42252	0.18653	0.026471	6.4051e-05	NA	NA	0.82505	0.651
